Business Name,Category,City,Email,Contact Name,Tags,Notes
Prestige Motors of Plano,Luxury Dealership,Plano,sales@prestigeplano.com,Jordan Reed,priority;plano,Met at the Plano auto show
Exotic Rides DFW,Exotic Car Rental,Dallas,,Sam Cole,exotic,No email yet — find on website
Sachse Auto Gallery,Car Dealership,Sachse,contact@sachseauto.com,Alex Kim,,Interested after first email
Garland Motorworks,Car Dealership,Garland,info@garlandmotorworks.com,Pat Nguyen,,
DFW Luxury Collection,Luxury Dealership,Dallas,gm@dfwluxury.com,Chris Vega,priority,Requested a sample detail
Velocity Exotics,Exotic Car Rental,Plano,book@velocityexotics.com,Taylor Brooks,exotic;plano,Opened, no reply
North Texas Auto Group,Car Dealership,Richardson,hello@ntxauto.com,Morgan Lee,,
Platinum Auto Sachse,Luxury Dealership,Sachse,,Jamie Ford,,No email found
Metroplex Fine Cars,Luxury Dealership,Plano,team@metroplexfine.com,Riley Shaw,priority,Warm — follow up
Rowlett Auto Spa,Auto Service,Rowlett,front@rowlettspa.com,Casey Park,,
